HouseID,City/Province,Location,Latitude,Longitude,Project,Property Type,Storeys,Bedrooms,Bathrooms,Floor Area,Land Area,Price,Description
467,Las Pinas,"Almanza Dos, Las Pinas",14.42473245,121.0145735,Resort Village House - Ready for Move In!,Other,0,4,3,382.0,192.0,18000000.0,For Sale: BF Resort Village House - Ready for Move In!
468,Urdaneta,"Macarthur Hwy Anonas, Urdaneta",16.0015834,120.5760561,Camella Urdaneta,House and Lot,0,2,2,53.0,96.0,5442000.0,"RFO 2BR House and Lot for Sale in Urdaneta, Pangasinan at Camella Urdaneta | Bella 96sqm"
469,Tarlac,"Camella Tarlac Access Rd. Maliwalo, Tarlac",15.4777848,120.6140745,Camella Tarlac,House and Lot,2,3,2,66.0,104.0,6346000.0,3BR 2-Storey House and Lot for Sale in Tarlac City at Camella Tarlac | Cara w/ CB 104sqm
470,Lipa,"Bugtong Na Pulo, Lipa",13.9984308,121.1674592,"The Villages at Lipa - Sierra Village, SD103",Single Detached,1,3,2,103.0,132.0,7367000.0,"3BR Single Detached House and Lot for Sale in Lipa, Batangas | The Villages at Lipa - Sierra Village, SD103"
471,Capas,"Talaga, Capas",15.38374425,120.5870832,Ajoya Capas,House and Lot,0,0,2,75.0,90.0,3192000.0,"Duplex House and Lot Back to Back for Sale in Capas, Tarlac at Ajoya Capas"
472,Mexico,"Eden, Mexico",15.1262529,120.6580131,Ajoya Pampanga,Single Detached,1,5,3,107.0,141.0,6311000.0,"5BR Single Detached House and Lot for Sale in Mexico, Pampanga at Ajoya Pampanga"
473,Subic,"Aningway Sacatihan, Subic",14.9131781,120.2282421,Camella Subic,House and Lot,2,3,2,66.0,99.0,5706000.0,"3BR 2-Storey House and Lot for Sale in Subic, Zambales at Camella Subic | Cara w/ CB 99sqm"
474,Kawit,"San Sebastian, Kawit",14.4129793,120.8886677,Lancaster New City,House and Lot,0,3,2,84.0,120.0,6650000.0,"3-Bedroom House and Lot for Sale in Kawit, Cavite at Lancaster New City | GABRIELLE Model"
475,Subic,"Aningway Sacatihan, Subic",14.9131781,120.2282421,Camella Subic,House and Lot,2,2,1,46.0,74.0,3984000.0,"2BR 2-Storey House and Lot for Sale in Subic, Zambales at Camella Subic | Ezabelle 74sqm"
476,Quezon City,"Matandang Balara, Quezon City",14.6716797,121.0745345,,House and Lot,0,12,12,1200.0,1000.0,110000000.0,Charming Loyola Grand Villas House and Lot for Sale in Quezon City
477,Pasig,"Mercedes Ave, Pasig, 1600 Metro Manila 14.566745440863722, 121.09773643837426 San Miguel, Pasig",14.5693109,121.0810435,Spacious 3-story Townhouse,Townhouse,0,3,3,183.0,110.0,19500000.0,For Sale | Spacious 3-story Townhouse | Ametta Place | Pasig
478,Cainta,"Olive St, 1900 Cainta, Philippines San Juan, Cainta",14.5522068,121.1039604,Executive Village Cainta Pasig,House and Lot,0,6,4,244.0,158.0,18000000.0,Prime Single House and Lot for Sale in Greenwoods Executive Village Cainta Pasig
479,Marikina,"21 Stirrup St., Rancho Estate 2 Subd., Cupang, Antipolo City Concepcion Dos, Marikina",14.6400469,121.1272474,,Townhouse,0,5,3,180.0,120.0,10900000.0,"For Sale Two (2) Storey Townhouse with Roofdeck in Cupang, Antipolo"
480,Tarlac,"Camella Tarlac Access Rd. Maliwalo, Tarlac",15.4777848,120.6140745,Camella Tarlac,House and Lot,2,4,3,83.0,110.0,7201000.0,4BR 2-Storey House and Lot for Sale in Tarlac City at Camella Tarlac | Dani w/ CB 110sqm
481,Calamba,"Laguerta, Calamba",14.1727369,121.0852575,"Averdeen Estates NUVALI in Calamba City, Laguna",Other,0,3,2,95.0,169.0,,"Erin Model House for Sale at Averdeen Estates NUVALI in Calamba City, Laguna"
482,Urdaneta,"San Vicente, Urdaneta",15.9823552,120.5799421,,Residential House,0,3,2,60.0,247.0,4000000.0,Old two-storey residential house For Sale Located at  Urdanenta  City
483,Antipolo,"Dalig, Antipolo",14.5730447,121.1864717,"Camella Sierra Metro East, Antipolo City",Other,0,3,2,60.0,121.0,,"Hanna Model SF House For Sale in Camella Sierra Metro East, Antipolo City"
484,Urdaneta,"Anonas, Urdaneta",15.9980269,120.5754414,Camella Urdanenta,Other,0,3,2,66.0,99.0,6728000.0,3 Bedroom House For Sale at Camella Urdanenta
485,Urdaneta,"Anonas, Urdaneta",15.9980269,120.5754414,Camella Urdanenta City,Other,0,4,3,83.0,121.0,8116000.0,House For Sale Located at Camella Urdanenta City
486,Imus,"Malagasang I-C, Imus",14.3905436,120.9273746,"Jade Residences, Malagasang, Imus, Cavite",Townhouse,0,2,1,50.0,60.0,2688000.0,"Townhouse For Sale at Jade Residences, Malagasang, Imus, Cavite"
487,Kawit,"San Sebastian, Kawit",14.4129793,120.8886677,Lancaster New City,House and Lot,0,3,2,80.0,92.0,5282600.0,"3-Bedroom House and Lot for Sale in Kawit, Cavite at Lancaster New City | AIRA Model"
488,Muntinlupa,"Tunasan, Muntinlupa",14.3801129,121.0514828,,Other,0,5,3,195.0,240.0,16884800.0,For sale Preselling 2 Storey Modern Samantha 5 Bedrooms House in Muntinlupa
489,Urdaneta,"Anonas, Urdaneta",15.9980269,120.5754414,"Camella Urdaneta City, Pangasinan",Other,0,5,3,166.0,154.0,11576000.0,"5 Bedroom House For Sale at Camella Urdaneta City, Pangasinan"
490,Koronadal,"Robredo Street San Isidro, Koronadal",6.4803979,124.8538871,,House and Lot,0,5,3,166.0,143.0,10793502.0,Advance Construction 5-Bedrooms House and Lot near Koronadal New Public Terminal
491,Tarlac,"Camella Tarlac Access Rd. Maliwalo, Tarlac",15.4777848,120.6140745,Camella Tarlac,House and Lot,2,2,1,40.0,66.0,3900000.0,2BR 2-Storey House and Lot for Sale in Tarlac City at Camella Tarlac | Criselle 66sqm
492,Urdaneta,"Anonas, Urdaneta",15.9980269,120.5754414,"Camella Urdanenta City,",Other,0,3,2,66.0,99.0,6728000.0,"2 3 Bedroom House For Sale Locatee at Camella Urdanenta City,"
493,Cabanatuan,"Valle Cruz, Cabanatuan",15.4799841,120.9920413,Ajoya Cabanatuan,House and Lot,0,2,2,75.0,135.0,3957188.0,"2BR Single Attached House and Lot for Sale in Cabanatuan, Nueva Ecija at Ajoya Cabanatuan"
494,San Jose Del Monte,"Bayani Rd, 3023 San Jose Del Monte, Philippines Tungkong Mangga, San Jose Del Monte",14.8055218,121.0694935,,Other,0,3,1,102.0,63.0,5295000.0,"3 Bedrooms with Balcony for Sale in Alta Eminenza San Jose Del Monte, Bulacan"
495,Malasiqui,"Banawang, Malasiqui",15.922827,120.4243958,Mirasville Malasiqui,Other,0,2,1,56.0,54.0,2250000.0,2 Bedroom Single Attached at Mirasville Malasiqui
496,Urdaneta,"Macarthur Hwy Anonas, Urdaneta",16.0015834,120.5760561,Camella Urdaneta,House and Lot,0,3,2,66.0,121.0,6079000.0,"3BR House and Lot for Sale in Urdaneta, Pangasinan at Camella Urdaneta | Cara 121sqm"
497,Urdaneta,"Macarthur Hwy Anonas, Urdaneta",16.0015834,120.5760561,Camella Urdaneta,House and Lot,0,3,2,66.0,142.0,8271000.0,"3BR SD House and Lot for Sale in Urdaneta, Pangasinan at Camella Urdaneta | Cara w/ CB 142sqm"
498,Urdaneta,"Macarthur Hwy Anonas, Urdaneta",16.0015834,120.5760561,Camella Urdaneta,House and Lot,0,3,2,66.0,117.0,8158000.0,"BTS 3BR SD House and Lot for Sale in Urdaneta, Pangasinan at Camella Urdaneta | Cara 117sqm"
499,Urdaneta,"Macarthur Hwy Anonas, Urdaneta",16.0015834,120.5760561,Camella Urdaneta,House and Lot,0,3,2,66.0,121.0,7474000.0,"3BR House and Lot for Sale in Urdaneta, Pangasinan at Camella Urdaneta | Cara w/ CB 121sqm"
500,San Pedro,"San Vicente Rd. San Vicente, San Pedro",14.3556159,121.0479804,Futura Homes San Pedro,House and Lot,0,3,2,,150.0,10152900.0,"Futura Homes San Pedro | 3BR Iris House and Lot for Sale in San Pedro, Laguna | Futura by Filinvest"
501,Urdaneta,"Macarthur Hwy Anonas, Urdaneta",16.0015834,120.5760561,Camella Urdaneta,House and Lot,0,4,3,83.0,157.0,9431000.0,"4BR SD House and Lot for Sale in Urdaneta, Pangasinan at Camella Urdaneta | Dani w/ CB 157sqm"
502,Urdaneta,"Macarthur Hwy Anonas, Urdaneta",16.0015834,120.5760561,Camella Urdaneta,House and Lot,0,4,3,85.0,110.0,6928000.0,"For Sale 4BR House and Lot in Urdaneta, Pangasinan at Camella Urdaneta | Dana 110sqm"
503,Urdaneta,"Macarthur Hwy Anonas, Urdaneta",16.0015834,120.5760561,Camella Urdaneta,House and Lot,0,5,3,142.0,154.0,10653000.0,"5BR House and Lot for Sale in Urdaneta, Pangasinan at Camella Urdaneta | Freya 154sqm"
504,Urdaneta,"Macarthur Hwy Anonas, Urdaneta",16.0015834,120.5760561,Camella Urdaneta,House and Lot,0,5,3,142.0,132.0,9987000.0,"5BR House and Lot for Sale in Urdaneta, Pangasinan at Camella Urdaneta | Freya 132sqm"
505,Urdaneta,"Macarthur Hwy Anonas, Urdaneta",16.0015834,120.5760561,Camella Urdaneta,House and Lot,0,5,3,100.0,145.0,7755000.0,"5BR House and Lot for Sale in Urdaneta, Pangasinan at Camella Urdaneta | Ella 145sqm"
506,Urdaneta,"Macarthur Hwy Anonas, Urdaneta",16.0015834,120.5760561,Camella Urdaneta,House and Lot,0,5,3,166.0,154.0,11576000.0,"5BR House and Lot for Sale in Urdaneta, Pangasinan at Camella Urdaneta | Greta 154sqm"
507,Urdaneta,"Macarthur Hwy Anonas, Urdaneta",16.0015834,120.5760561,Camella Urdaneta,House and Lot,0,5,3,142.0,133.0,10022000.0,"5BR House and Lot for Sale in Urdaneta, Pangasinan at Camella Urdaneta | Freya 133sqm"
508,Calamba,"Pueblo Solana, Ciudad De Calamba Bubuyan, Calamba",14.1667422,121.1063562,Futura by Filinvest,House and Lot,0,1,1,29.2,70.0,1740000.0,"Valle Dulce | 1BR Bernice SA House and Lot for Sale in Calamba, Laguna | Futura by Filinvest"
509,Urdaneta,"Macarthur Hwy Anonas, Urdaneta",16.0015834,120.5760561,Camella Urdaneta,House and Lot,0,3,2,66.0,89.0,5465000.0,"RFO 3BR House and Lot for Sale in Urdaneta, Pangasinan at Camella Urdaneta | Cara 89sqm"
510,Urdaneta,"Macarthur Hwy Anonas, Urdaneta",16.0015834,120.5760561,Camella Urdaneta,House and Lot,0,3,2,66.0,125.0,7685000.0,"3BR House and Lot for Sale in Urdaneta, Pangasinan at Camella Urdaneta | Cara w/ CB 125sqm"
511,Urdaneta,"Macarthur Hwy Anonas, Urdaneta",16.0015834,120.5760561,Camella Urdaneta,House and Lot,0,3,2,66.0,101.0,6796000.0,"3BR House and Lot for Sale in Urdaneta, Pangasinan at Camella Urdaneta | Cara w/ CB 101sqm"
512,Urdaneta,"Macarthur Hwy Anonas, Urdaneta",16.0015834,120.5760561,Camella Urdaneta,House and Lot,0,3,2,66.0,100.0,6762000.0,"3BR House and Lot for Sale in Urdaneta, Pangasinan at Camella Urdaneta | Cara w/ CB 100sqm"
513,Urdaneta,"Macarthur Hwy Anonas, Urdaneta",16.0015834,120.5760561,Camella Urdaneta,House and Lot,0,3,2,66.0,100.0,6007000.0,"3BR House and Lot for Sale in Urdaneta, Pangasinan at Camella Urdaneta | Cara 100sqm"
514,Urdaneta,"Macarthur Hwy Anonas, Urdaneta",16.0015834,120.5760561,Camella Urdaneta,House and Lot,0,4,3,83.0,174.0,10017000.0,"4BR SD House and Lot for Sale in Urdaneta, Pangasinan at Camella Urdaneta | Dani w/ CB 174sqm"
515,Urdaneta,"Macarthur Hwy Anonas, Urdaneta",16.0015834,120.5760561,Camella Urdaneta,House and Lot,0,4,3,85.0,246.0,9671000.0,"4BR House and Lot for Sale in Urdaneta, Pangasinan at Camella Urdaneta | Dana 246sqm"
516,Urdaneta,"Macarthur Hwy Anonas, Urdaneta",16.0015834,120.5760561,Camella Urdaneta,House and Lot,0,4,3,85.0,110.0,8259000.0,"4BR House and Lot for Sale in Urdaneta, Pangasinan at Camella Urdaneta | Dana 110sqm"
517,Urdaneta,"Macarthur Hwy Anonas, Urdaneta",16.0015834,120.5760561,Camella Urdaneta,House and Lot,0,4,3,85.0,99.0,7820000.0,"4BR House and Lot for Sale in Urdaneta, Pangasinan at Camella Urdaneta | Dana 99sqm"
